,name,lat,lon,h
106,KNYNEWYO597,40.633,-74.019,79.0
109,KNYNEWYO594,40.731,-73.986,82.0
110,KNYNEWYO585,40.753,-73.983,0.0
111,KNYNEWYO152,40.591,-73.988,30.0
113,KNYNEWYO455,40.661,-73.956,66.0
115,KNYNEWYO71,40.746,-73.982,98.0
116,KNYNEWYO576,40.616,-74.146,52.0
117,KNYNEWYO87,40.616,-74.146,52.0
118,KNYNEWYO277,40.628,-74.113,154.0
119,KNYNEWYO94,40.689,-73.996,66.0
120,KNYNEWYO91,40.753,-73.979,250.0
121,KNYNEWYO158,40.689,-73.871,43.0
122,KNYNEWYO405,40.72,-74.011,30.0
123,KNYNEWYO570,40.665,-73.987,0.0
125,KNYNEWYO361,40.693,-73.929,59.0
126,KNYNEWYO119,40.785,-73.97,180.0
127,KNYNEWYO120,40.728,-73.985,36.0
128,KNYNEWYO122,40.742,-73.999,72.0
129,KNYNEWYO124,40.786,-73.97,157.0
130,KNYNEWYO127,40.724,-73.984,49.0
131,KNYNEWYO128,40.758,-73.961,127.0
132,KNYNEWYO131,40.708,-74.015,70.0
133,KNYNEWYO132,40.792,-73.939,22.0
134,KNYNEWYO133,40.716,-73.959,39.0
135,KNYNEWYO134,40.783,-73.98,141.0
136,KNYNEWYO135,40.803,-73.944,29.0
137,KNYNEWYO141,40.742,-73.999,59.0
138,KNYNEWYO144,40.769,-73.968,154.0
139,KNYNEWYO146,40.765,-73.966,124.0
140,KNYNEWYO151,40.725,-73.981,22.0
141,KNYNEWYO154,40.741,-73.999,75.0
142,KNYNEWYO164,40.761,-73.958,49.0
143,KNYNEWYO166,40.768,-73.988,78.0
144,KNYNEWYO168,40.762,-73.986,-107506.0
145,KNYNEWYO169,40.769,-73.969,85.0
146,KNYNEWYO172,40.719,-73.964,36.0
147,KNYNEWYO173,40.713,-73.957,9.0
148,KNYNEWYO178,40.747,-73.98,108.0
149,KNYNEWYO184,40.708,-74.018,-107506.0
150,KNYNEWYO185,40.777,-73.981,164.0
151,KNYNEWYO192,40.78,-73.951,88.0
152,KNYNEWYO193,40.751,-73.978,-107506.0
153,KNYNEWYO195,40.76,-73.993,55.0
154,KNYNEWYO198,40.71,-74.015,-107506.0
155,KNYNEWYO200,40.762,-73.99,39.0
156,KNYNEWYO201,40.759,-73.953,29.0
158,KNYNEWYO204,40.765,-73.965,98.0
159,KNYNEWYO206,40.748,-74.002,26.0
161,KNYNEWYO209,40.779,-73.979,118.0
162,KNYNEWYO213,40.778,-73.945,52.0
163,KNYNEWYO216,40.719,-74.006,29.0
164,KNYNEWYO218,40.744,-73.986,127.0
165,KNYNEWYO221,40.77,-73.951,52.0
166,KNYNEWYO226,40.72,-73.963,6.0
167,KNYNEWYO230,40.744,-73.99,82.0
168,KNYNEWYO232,40.77,-73.956,104.0
169,KNYNEWYO238,40.747,-73.99,75.0
170,KNYNEWYO248,40.767,-73.989,68.0
171,KNYNEWYO250,40.8,-73.953,62.0
172,KNYNEWYO254,40.759,-73.992,42.0
173,KNYNEWYO256,40.731,-73.99,65.0
174,KNYNEWYO264,40.75,-73.977,-107506.0
175,KNYNEWYO275,40.736,-73.996,78.0
176,KNYNEWYO283,40.794,-73.972,127.0
177,KNYNEWYO291,40.738,-73.998,59.0
178,KNYNEWYO302,40.715,-73.955,19.0
179,KNYNEWYO307,40.746,-73.999,36.0
180,KNYNEWYO331,40.722,-73.999,55.0
181,KNYNEWYO333,40.798,-73.961,121.0
182,KNYNEWYO349,40.707,-74.008,-107506.0
183,KNYNEWYO354,40.752,-74.004,22.0
184,KNYNEWYO359,40.736,-73.983,55.0
185,KNYNEWYO382,40.764,-73.973,-107506.0
186,KNYNEWYO387,40.718,-73.999,45.0
187,KNYNEWYO391,40.741,-73.98,78.0
188,KNYNEWYO397,40.779,-73.978,121.0
189,KNYNEWYO419,40.772,-73.953,121.0
190,KNYNEWYO421,40.708,-74.017,-107506.0
192,KNYNEWYO427,40.8,-73.971,154.0
193,KNYNEWYO429,40.75,-73.983,173.0
194,KNYNEWYO433,40.712,-74.013,-107506.0
195,KNYNEWYO435,40.722,-74.009,62.0
196,KNYNEWYO441,40.767,-73.984,131.0
197,KNYNEWYO443,40.784,-73.981,137.0
198,KNYNEWYO445,40.791,-73.943,16.0
199,KNYNEWYO447,40.798,-73.973,154.0
