,name,lat,lon,h,street_elevation,building_elevation
88,KNYNEWYO274,40.674,-73.977,108.0,28.4806386066,75.65982957
89,KNYNEWYO591,40.733,-73.996,260.0,32.8362909506,151.430463155
90,KNYNEWYO139,40.803,-73.944,36.0,47.722692198,118.334737701
91,KNYNEWYO598,40.588,-73.92,7.0,8.562527434,26.701388425
92,KNYNEWYO597,40.633,-74.019,79.0,38.725359769,81.477682807
93,KNYNEWYO594,40.731,-73.986,82.0,32.8362909506,90.55
94,KNYNEWYO585,40.753,-73.983,0.0,50.85772114,223.941
95,KNYNEWYO152,40.591,-73.988,30.0,17.293863234,34.66512
96,KNYNEWYO455,40.661,-73.956,66.0,7.28631641655,52.754668309
97,KNYNEWYO71,40.746,-73.982,98.0,50.85772114,258.136886771
98,KNYNEWYO576,40.616,-74.146,52.0,39.435137712,61.1053962412
99,KNYNEWYO87,40.616,-74.146,52.0,39.435137712,61.1053962412
100,KNYNEWYO277,40.628,-74.113,154.0,99.4665523,172.206
101,KNYNEWYO94,40.689,-73.996,66.0,32.6492541146,93.637
102,KNYNEWYO91,40.753,-73.979,250.0,50.85772114,344.622
103,KNYNEWYO158,40.689,-73.871,43.0,68.56444693,136.688108154
104,KNYNEWYO405,40.72,-74.011,30.0,32.8362909506,206.993190753
105,KNYNEWYO570,40.665,-73.987,0.0,24.9723678036,77.178052716
106,KNYNEWYO361,40.693,-73.929,59.0,54.5264886616,111.238
107,KNYNEWYO119,40.785,-73.97,180.0,59.743267889,194.485
108,KNYNEWYO120,40.728,-73.985,36.0,32.8362909506,70.574
109,KNYNEWYO122,40.742,-73.999,72.0,32.8362909506,84.146499626
110,KNYNEWYO124,40.786,-73.97,157.0,59.743267889,193.982
111,KNYNEWYO127,40.724,-73.984,49.0,32.8362909506,72.394
112,KNYNEWYO128,40.758,-73.961,127.0,50.85772114,129.683380416
113,KNYNEWYO131,40.708,-74.015,70.0,32.8362909506,218.95100902
114,KNYNEWYO132,40.792,-73.939,22.0,47.722692198,63.548552544
115,KNYNEWYO133,40.716,-73.959,39.0,32.8362909506,63.96
116,KNYNEWYO134,40.783,-73.98,141.0,59.17572114,182.258965286
117,KNYNEWYO135,40.803,-73.944,29.0,47.722692198,118.334737701
118,KNYNEWYO141,40.742,-73.999,59.0,32.8362909506,84.146499626
119,KNYNEWYO144,40.769,-73.968,154.0,50.85772114,159.488
120,KNYNEWYO146,40.765,-73.966,124.0,50.85772114,127.488355994
121,KNYNEWYO151,40.725,-73.981,22.0,32.8362909506,74.328
122,KNYNEWYO154,40.741,-73.999,75.0,32.8362909506,126.928
123,KNYNEWYO164,40.761,-73.958,49.0,50.85772114,168.266704414
124,KNYNEWYO166,40.768,-73.988,78.0,50.85772114,124.36059378
125,KNYNEWYO168,40.762,-73.986,-107506.0,50.85772114,181.035
126,KNYNEWYO169,40.769,-73.969,85.0,50.85772114,183.296
127,KNYNEWYO172,40.719,-73.964,36.0,32.8362909506,67.509
128,KNYNEWYO173,40.713,-73.957,9.0,32.8362909506,78.591
129,KNYNEWYO178,40.747,-73.98,108.0,50.85772114,131.694
130,KNYNEWYO184,40.708,-74.018,-107506.0,32.8362909506,210.442381547
131,KNYNEWYO185,40.777,-73.981,164.0,50.85772114,160.041
132,KNYNEWYO192,40.78,-73.951,88.0,55.755490087,111.873
133,KNYNEWYO193,40.751,-73.978,-107506.0,50.85772114,299.103555677
134,KNYNEWYO195,40.76,-73.993,55.0,50.85772114,85.053273992
135,KNYNEWYO198,40.71,-74.015,-107506.0,32.8362909506,243.383848346
136,KNYNEWYO200,40.762,-73.99,39.0,50.85772114,102.691
137,KNYNEWYO201,40.759,-73.953,29.0,50.85772114,132.757076264
138,KNYNEWYO204,40.765,-73.965,98.0,50.85772114,109.969
139,KNYNEWYO206,40.748,-74.002,26.0,41.857586578,81.687753945
140,KNYNEWYO209,40.779,-73.979,118.0,50.85772114,143.737
141,KNYNEWYO213,40.778,-73.945,52.0,55.755490087,68.07608371
142,KNYNEWYO216,40.719,-74.006,29.0,32.8362909506,86.652
143,KNYNEWYO218,40.744,-73.986,127.0,50.85772114,217.451653806
144,KNYNEWYO221,40.77,-73.951,52.0,59.17572114,128.726
145,KNYNEWYO226,40.72,-73.963,6.0,32.8362909506,56.325
146,KNYNEWYO230,40.744,-73.99,82.0,41.857586578,122.887836099
147,KNYNEWYO232,40.77,-73.956,104.0,59.17572114,105.859056276
148,KNYNEWYO238,40.747,-73.99,75.0,50.85772114,149.781483102
149,KNYNEWYO248,40.767,-73.989,68.0,50.85772114,95.476981778
150,KNYNEWYO250,40.8,-73.953,62.0,51.457857438,91.000974731
151,KNYNEWYO254,40.759,-73.992,42.0,50.85772114,74.578
152,KNYNEWYO256,40.731,-73.99,65.0,32.8362909506,92.072
153,KNYNEWYO264,40.75,-73.977,-107506.0,50.85772114,117.117735864
154,KNYNEWYO275,40.736,-73.996,78.0,32.8362909506,111.158
155,KNYNEWYO283,40.794,-73.972,127.0,54.683846836,147.378897657
156,KNYNEWYO291,40.738,-73.998,59.0,32.8362909506,116.227261161
157,KNYNEWYO302,40.715,-73.955,19.0,32.8362909506,31.4529323175
158,KNYNEWYO307,40.746,-73.999,36.0,41.857586578,118.509
159,KNYNEWYO331,40.722,-73.999,55.0,32.8362909506,92.537
160,KNYNEWYO333,40.798,-73.961,121.0,51.457857438,150.331
161,KNYNEWYO349,40.707,-74.008,-107506.0,32.8362909506,263.465089647
162,KNYNEWYO354,40.752,-74.004,22.0,50.85772114,86.4217397375
163,KNYNEWYO359,40.736,-73.983,55.0,32.8362909506,117.077799716
164,KNYNEWYO382,40.764,-73.973,-107506.0,50.85772114,282.587
165,KNYNEWYO387,40.718,-73.999,45.0,32.8362909506,78.142
166,KNYNEWYO391,40.741,-73.98,78.0,50.85772114,107.704
167,KNYNEWYO397,40.779,-73.978,121.0,50.85772114,148.520406634
168,KNYNEWYO419,40.772,-73.953,121.0,59.17572114,154.474485616
169,KNYNEWYO421,40.708,-74.017,-107506.0,32.8362909506,220.399592481
170,KNYNEWYO427,40.8,-73.971,154.0,54.683846836,166.858
171,KNYNEWYO429,40.75,-73.983,173.0,50.85772114,250.162859262
172,KNYNEWYO433,40.712,-74.013,-107506.0,32.8362909506,413.77836103
173,KNYNEWYO435,40.722,-74.009,62.0,32.8362909506,106.072535905
174,KNYNEWYO441,40.767,-73.984,131.0,50.85772114,268.680940854
175,KNYNEWYO443,40.784,-73.981,137.0,59.17572114,181.443
176,KNYNEWYO445,40.791,-73.943,16.0,54.683846836,72.229500212
177,KNYNEWYO447,40.798,-73.973,154.0,54.683846836,195.84
